Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 392: val_loss=2.2671, val_acc=0.5435
Epoch 393: val_loss=2.2667, val_acc=0.5435
Epoch 394: val_loss=2.2674, val_acc=0.5426
Epoch 395: val_loss=2.2675, val_acc=0.5428
Epoch 396: val_loss=2.2688, val_acc=0.5430
Epoch 397: val_loss=2.2690, val_acc=0.5428
Epoch 398: val_loss=2.2690, val_acc=0.5430
Epoch 399: val_loss=2.2686, val_acc=0.5430

==================================================
Training complete!
Final nonzero params: 337,783 / 422,243
Final sparsity: 20.00%
Compression ratio: 1.3x
Saved final model to ./checkpoints\final_model.pt
