Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 390: val_loss=0.0025, val_acc=1.0000
Epoch 391: val_loss=0.0025, val_acc=1.0000
Epoch 392: val_loss=0.0024, val_acc=1.0000
Epoch 393: val_loss=0.0024, val_acc=1.0000
Epoch 394: val_loss=0.0024, val_acc=1.0000
Epoch 395: val_loss=0.0024, val_acc=1.0000
Epoch 396: val_loss=0.0024, val_acc=1.0000
Epoch 397: val_loss=0.0024, val_acc=1.0000
Epoch 398: val_loss=0.0024, val_acc=1.0000
Epoch 399: val_loss=0.0024, val_acc=1.0000

==================================================
Training complete!
Final nonzero params: 337,783 / 422,243
Final sparsity: 20.00%
Compression ratio: 1.3x
Saved final model to ./checkpoints\final_model.pt
