Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 384: val_loss=5.9243, val_acc=0.3320
Epoch 385: val_loss=5.9176, val_acc=0.3328
Epoch 386: val_loss=5.9229, val_acc=0.3309
Epoch 387: val_loss=5.9017, val_acc=0.3350
Epoch 388: val_loss=5.9069, val_acc=0.3350
Epoch 389: val_loss=5.9093, val_acc=0.3358
Epoch 390: val_loss=5.9175, val_acc=0.3343
Epoch 391: val_loss=5.9038, val_acc=0.3337
Epoch 392: val_loss=5.8995, val_acc=0.3345
Epoch 393: val_loss=5.8958, val_acc=0.3362
Epoch 394: val_loss=5.8982, val_acc=0.3373
Epoch 395: val_loss=5.8942, val_acc=0.3337
Epoch 396: val_loss=5.8848, val_acc=0.3341
Epoch 397: val_loss=5.8859, val_acc=0.3337
Epoch 398: val_loss=5.8786, val_acc=0.3362
Epoch 399: val_loss=5.8767, val_acc=0.3367
Epoch 400: val_loss=5.8772, val_acc=0.3384
Epoch 401: val_loss=5.8679, val_acc=0.3384
Epoch 402: val_loss=5.8685, val_acc=0.3382
Epoch 403: val_loss=5.8637, val_acc=0.3382
Epoch 404: val_loss=5.8610, val_acc=0.3388
Epoch 405: val_loss=5.8596, val_acc=0.3399
Epoch 406: val_loss=5.8623, val_acc=0.3382
Epoch 407: val_loss=5.8588, val_acc=0.3379
Epoch 408: val_loss=5.8484, val_acc=0.3396
Epoch 409: val_loss=5.8469, val_acc=0.3371
Epoch 410: val_loss=5.8424, val_acc=0.3394
Epoch 411: val_loss=5.8426, val_acc=0.3384
Epoch 412: val_loss=5.8315, val_acc=0.3405
Epoch 413: val_loss=5.8393, val_acc=0.3396
Epoch 414: val_loss=5.8365, val_acc=0.3403
Epoch 415: val_loss=5.8361, val_acc=0.3384
Epoch 416: val_loss=5.8287, val_acc=0.3407
Epoch 417: val_loss=5.8349, val_acc=0.3405
Epoch 418: val_loss=5.8328, val_acc=0.3452
Epoch 419: val_loss=5.8253, val_acc=0.3411
Epoch 420: val_loss=5.8154, val_acc=0.3452
Epoch 421: val_loss=5.8245, val_acc=0.3426
Epoch 422: val_loss=5.8121, val_acc=0.3437
Epoch 423: val_loss=5.8194, val_acc=0.3426
Epoch 424: val_loss=5.8106, val_acc=0.3454
Epoch 425: val_loss=5.8043, val_acc=0.3441
Epoch 426: val_loss=5.8010, val_acc=0.3443
Epoch 427: val_loss=5.8015, val_acc=0.3435
Epoch 428: val_loss=5.8004, val_acc=0.3439
Epoch 429: val_loss=5.7986, val_acc=0.3443
Epoch 430: val_loss=5.8087, val_acc=0.3456
Epoch 431: val_loss=5.7909, val_acc=0.3450
Epoch 432: val_loss=5.8003, val_acc=0.3445
Epoch 433: val_loss=5.7816, val_acc=0.3447
Epoch 434: val_loss=5.7834, val_acc=0.3428
Epoch 435: val_loss=5.7662, val_acc=0.3477
Epoch 436: val_loss=5.7795, val_acc=0.3460
Epoch 437: val_loss=5.7787, val_acc=0.3450
Epoch 438: val_loss=5.7727, val_acc=0.3456
Epoch 439: val_loss=5.7664, val_acc=0.3477
Epoch 440: val_loss=5.7634, val_acc=0.3486
Epoch 441: val_loss=5.7615, val_acc=0.3484
Epoch 442: val_loss=5.7581, val_acc=0.3507
Epoch 443: val_loss=5.7577, val_acc=0.3479
Epoch 444: val_loss=5.7540, val_acc=0.3507
Epoch 445: val_loss=5.7548, val_acc=0.3490
Epoch 446: val_loss=5.7547, val_acc=0.3479
Epoch 447: val_loss=5.7460, val_acc=0.3509
Epoch 448: val_loss=5.7488, val_acc=0.3501
Epoch 449: val_loss=5.7477, val_acc=0.3535
Epoch 450: val_loss=5.7426, val_acc=0.3524
Epoch 451: val_loss=5.7395, val_acc=0.3507
Epoch 452: val_loss=5.7349, val_acc=0.3524
Epoch 453: val_loss=5.7414, val_acc=0.3496
Epoch 454: val_loss=5.7347, val_acc=0.3505
Epoch 455: val_loss=5.7272, val_acc=0.3515
Epoch 456: val_loss=5.7249, val_acc=0.3528
Epoch 457: val_loss=5.7282, val_acc=0.3503
Epoch 458: val_loss=5.7150, val_acc=0.3547
Epoch 459: val_loss=5.7246, val_acc=0.3524
Epoch 460: val_loss=5.7292, val_acc=0.3539
Epoch 461: val_loss=5.7149, val_acc=0.3518
Epoch 462: val_loss=5.7084, val_acc=0.3537
Epoch 463: val_loss=5.7107, val_acc=0.3554
Epoch 464: val_loss=5.7145, val_acc=0.3539
Epoch 465: val_loss=5.7142, val_acc=0.3518
Epoch 466: val_loss=5.7096, val_acc=0.3528
Epoch 467: val_loss=5.6999, val_acc=0.3545
Epoch 468: val_loss=5.7008, val_acc=0.3524
Epoch 469: val_loss=5.6966, val_acc=0.3535
Epoch 470: val_loss=5.6972, val_acc=0.3560
Epoch 471: val_loss=5.6886, val_acc=0.3552
Epoch 472: val_loss=5.6928, val_acc=0.3564
Epoch 473: val_loss=5.6841, val_acc=0.3554
Epoch 474: val_loss=5.6840, val_acc=0.3569
Epoch 475: val_loss=5.6798, val_acc=0.3573
Epoch 476: val_loss=5.6877, val_acc=0.3562
Epoch 477: val_loss=5.6819, val_acc=0.3573
Epoch 478: val_loss=5.6847, val_acc=0.3575
Epoch 479: val_loss=5.6779, val_acc=0.3598
Epoch 480: val_loss=5.6699, val_acc=0.3590
Epoch 481: val_loss=5.6684, val_acc=0.3571
Epoch 482: val_loss=5.6684, val_acc=0.3590
Epoch 483: val_loss=5.6625, val_acc=0.3583
Epoch 484: val_loss=5.6614, val_acc=0.3586
Epoch 485: val_loss=5.6584, val_acc=0.3594
Epoch 486: val_loss=5.6610, val_acc=0.3577
Epoch 487: val_loss=5.6566, val_acc=0.3598
Epoch 488: val_loss=5.6553, val_acc=0.3598
Epoch 489: val_loss=5.6563, val_acc=0.3590
Epoch 490: val_loss=5.6462, val_acc=0.3596
Epoch 491: val_loss=5.6456, val_acc=0.3603
Epoch 492: val_loss=5.6450, val_acc=0.3590
Epoch 493: val_loss=5.6488, val_acc=0.3617
Epoch 494: val_loss=5.6466, val_acc=0.3590
Epoch 495: val_loss=5.6391, val_acc=0.3605
Epoch 496: val_loss=5.6330, val_acc=0.3594
Epoch 497: val_loss=5.6323, val_acc=0.3622
Epoch 498: val_loss=5.6379, val_acc=0.3611
Epoch 499: val_loss=5.6283, val_acc=0.3641
Epoch 500: val_loss=5.6212, val_acc=0.3634
Epoch 501: val_loss=5.6277, val_acc=0.3626
Epoch 502: val_loss=5.6240, val_acc=0.3622
Epoch 503: val_loss=5.6196, val_acc=0.3656
Epoch 504: val_loss=5.6192, val_acc=0.3628
Epoch 505: val_loss=5.6160, val_acc=0.3641
Epoch 506: val_loss=5.6167, val_acc=0.3645
Epoch 507: val_loss=5.6093, val_acc=0.3639
