100%|██████████| 1000/1000 [14:39<00:00,  1.14it/s]

============================================================
🔶 SPARSE TRAINING
============================================================
Config: 2L×128D×4H, L0=0.1
wandb: WARNING Calling wandb.login() after wandb.init() has no effect.
wandb: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Initial nonzero: 421,219 (99.76%)
Training for 10000 steps (~1000 epochs)
Epoch 243: val_loss=4.6045, val_acc=0.0100
Epoch 244: val_loss=4.6042, val_acc=0.0079
Epoch 245: val_loss=4.6033, val_acc=0.0072
Epoch 246: val_loss=4.6029, val_acc=0.0077
Epoch 247: val_loss=4.6069, val_acc=0.0070
Epoch 248: val_loss=4.6062, val_acc=0.0074
Epoch 249: val_loss=4.6053, val_acc=0.0072
Epoch 250: val_loss=4.6059, val_acc=0.0085
Epoch 251: val_loss=4.6141, val_acc=0.0083
Epoch 252: val_loss=4.6123, val_acc=0.0079
Epoch 253: val_loss=4.6109, val_acc=0.0079
Epoch 254: val_loss=4.6090, val_acc=0.0087
Epoch 255: val_loss=4.6071, val_acc=0.0077
Epoch 256: val_loss=4.6046, val_acc=0.0083
Epoch 257: val_loss=4.6040, val_acc=0.0085
Epoch 258: val_loss=4.6026, val_acc=0.0094
Epoch 259: val_loss=4.6017, val_acc=0.0100
Epoch 260: val_loss=4.6027, val_acc=0.0098
Epoch 261: val_loss=4.6025, val_acc=0.0091
Epoch 262: val_loss=4.6012, val_acc=0.0096
Epoch 263: val_loss=4.6005, val_acc=0.0096
Epoch 264: val_loss=4.6047, val_acc=0.0091
Epoch 265: val_loss=4.6038, val_acc=0.0085
Epoch 266: val_loss=4.6026, val_acc=0.0079
Epoch 267: val_loss=4.6056, val_acc=0.0077
Epoch 268: val_loss=4.6044, val_acc=0.0064
Epoch 269: val_loss=4.6066, val_acc=0.0081
Epoch 270: val_loss=4.6051, val_acc=0.0079
Epoch 271: val_loss=4.6034, val_acc=0.0070
Epoch 272: val_loss=4.6021, val_acc=0.0077
Epoch 273: val_loss=4.6026, val_acc=0.0070
Epoch 274: val_loss=4.6020, val_acc=0.0072
Epoch 275: val_loss=4.6028, val_acc=0.0074
Epoch 276: val_loss=4.6027, val_acc=0.0081
Epoch 277: val_loss=4.6026, val_acc=0.0083
Epoch 278: val_loss=4.6023, val_acc=0.0072
Epoch 279: val_loss=4.6015, val_acc=0.0079
Epoch 280: val_loss=4.6018, val_acc=0.0081
Epoch 281: val_loss=4.6015, val_acc=0.0072
Epoch 282: val_loss=4.6036, val_acc=0.0098
Epoch 283: val_loss=4.6040, val_acc=0.0079
Epoch 284: val_loss=4.6033, val_acc=0.0077
Epoch 285: val_loss=4.6033, val_acc=0.0062
Epoch 286: val_loss=4.6026, val_acc=0.0072
Epoch 287: val_loss=4.6023, val_acc=0.0074
Epoch 288: val_loss=4.6015, val_acc=0.0081
Epoch 289: val_loss=4.6012, val_acc=0.0072
