Using device: cpu
Loading data: x+y mod 97
Creating sparse model...
Model parameters: 422,243
Epoch 299: val_loss=4.5986, val_acc=0.0081
Epoch 300: val_loss=4.5985, val_acc=0.0081
Epoch 301: val_loss=4.5986, val_acc=0.0081
Epoch 302: val_loss=4.5987, val_acc=0.0079
Epoch 303: val_loss=4.5988, val_acc=0.0077
Epoch 304: val_loss=4.5988, val_acc=0.0074
Epoch 305: val_loss=4.5988, val_acc=0.0074
Epoch 306: val_loss=4.5987, val_acc=0.0074
Epoch 307: val_loss=4.5986, val_acc=0.0066
Epoch 308: val_loss=4.5987, val_acc=0.0077
Epoch 309: val_loss=4.5987, val_acc=0.0077
Epoch 310: val_loss=4.5988, val_acc=0.0087
Epoch 311: val_loss=4.5988, val_acc=0.0096
Epoch 312: val_loss=4.5989, val_acc=0.0094
Epoch 313: val_loss=4.5989, val_acc=0.0091
Epoch 314: val_loss=4.5989, val_acc=0.0094
Epoch 315: val_loss=4.5990, val_acc=0.0096
Epoch 316: val_loss=4.5990, val_acc=0.0091
Epoch 317: val_loss=4.5990, val_acc=0.0081
Epoch 318: val_loss=4.5990, val_acc=0.0085
Epoch 319: val_loss=4.5990, val_acc=0.0087
Epoch 320: val_loss=4.5991, val_acc=0.0079
Epoch 321: val_loss=4.5991, val_acc=0.0081
Epoch 322: val_loss=4.5990, val_acc=0.0083
Epoch 323: val_loss=4.5991, val_acc=0.0074
Epoch 324: val_loss=4.5992, val_acc=0.0068
Epoch 325: val_loss=4.5991, val_acc=0.0070
Epoch 326: val_loss=4.5989, val_acc=0.0066
Epoch 327: val_loss=4.5989, val_acc=0.0068
Epoch 328: val_loss=4.5990, val_acc=0.0064
Epoch 329: val_loss=4.5990, val_acc=0.0064
Epoch 330: val_loss=4.5990, val_acc=0.0068
Epoch 331: val_loss=4.5989, val_acc=0.0066
Epoch 332: val_loss=4.5990, val_acc=0.0068
Epoch 333: val_loss=4.5989, val_acc=0.0072
Epoch 334: val_loss=4.5990, val_acc=0.0068
Epoch 335: val_loss=4.5990, val_acc=0.0068
Epoch 336: val_loss=4.5991, val_acc=0.0068
Epoch 337: val_loss=4.5991, val_acc=0.0066
Epoch 338: val_loss=4.5991, val_acc=0.0066
Epoch 339: val_loss=4.5989, val_acc=0.0066
Epoch 340: val_loss=4.5988, val_acc=0.0068
Epoch 341: val_loss=4.5988, val_acc=0.0070
Epoch 342: val_loss=4.5987, val_acc=0.0068
Epoch 343: val_loss=4.5986, val_acc=0.0064
Epoch 344: val_loss=4.5985, val_acc=0.0070
Epoch 345: val_loss=4.5985, val_acc=0.0066
Epoch 346: val_loss=4.5984, val_acc=0.0074
Epoch 347: val_loss=4.5984, val_acc=0.0070
Epoch 348: val_loss=4.5984, val_acc=0.0064
Epoch 349: val_loss=4.5983, val_acc=0.0072
Epoch 350: val_loss=4.5982, val_acc=0.0070
Epoch 351: val_loss=4.5981, val_acc=0.0066
Epoch 352: val_loss=4.5982, val_acc=0.0068
Epoch 353: val_loss=4.5982, val_acc=0.0068
